epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,33.6003,1.53565,0.1271,0.13823,0.95831,1.63579,0.79401,0.71429,0.82,0.22603,0.96675,0.85714,0.96389,0.9544,2.49864,0.21999,0.10014,1.54751,2.20496,0.00118816,0.00118816,0.00118816
28,34.7743,1.51455,0.10645,0.13369,0.97727,1.61038,0.80297,0.71429,0.78737,0.25493,0.97155,0.85714,0.96389,0.95423,2.48801,0.21372,0.07694,1.27048,2.15786,0.00121628,0.00121628,0.00121628
29,35.8698,1.69785,0.16178,0.08538,0.89012,1.68665,0.80297,0.71429,0.78737,0.25493,0.97155,0.85714,0.96389,0.95423,2.48801,0.21372,0.07694,1.27048,2.15786,0.00124322,0.00124322,0.00124322
30,36.9661,1.66449,0.15938,0.067,0.89015,1.72755,0.80297,0.71429,0.78737,0.25493,0.97155,0.85714,0.96389,0.95423,2.48801,0.21372,0.07694,1.27048,2.15786,0.00126896,0.00126896,0.00126896
31,38.0566,1.73411,0.1408,0.06643,0.94653,1.97047,0.96228,0.85714,0.953,0.35361,0.96228,0.85714,0.953,0.94585,2.23407,0.21194,0.06533,1.07305,1.90379,0.00129352,0.00129352,0.00129352
32,39.1417,1.76428,0.1214,0.17678,1.02567,1.69004,0.96228,0.85714,0.953,0.35361,0.96228,0.85714,0.953,0.94585,2.23407,0.21194,0.06533,1.07305,1.90379,0.00131689,0.00131689,0.00131689
33,40.253,1.46809,0.14648,0.06592,0.86296,1.56971,0.9685,0.85714,0.96389,0.35271,0.9685,0.85714,0.96389,0.95458,2.1679,0.2127,0.04838,1.0097,1.8485,0.00133907,0.00133907,0.00133907
34,41.3834,1.4917,0.11594,0.05632,0.89034,1.60619,0.9685,0.85714,0.96389,0.35271,0.9685,0.85714,0.96389,0.95458,2.1679,0.2127,0.04838,1.0097,1.8485,0.0013466,0.0013466,0.0013466
35,42.4825,1.56475,0.12682,0.27833,0.86523,1.6443,0.9685,0.85714,0.96389,0.35271,0.9685,0.85714,0.96389,0.95458,2.1679,0.2127,0.04838,1.0097,1.8485,0.0013268,0.0013268,0.0013268
36,43.581,1.63822,0.11211,0.07573,0.96956,1.72064,0.97987,0.85714,0.9775,0.41302,0.97987,0.85714,0.9775,0.9775,2.01574,0.23475,0.03888,1.0786,1.77109,0.001307,0.001307,0.001307
37,44.6946,1.60699,0.13992,0.0598,0.92844,1.69611,0.97987,0.85714,0.9775,0.41302,0.97987,0.85714,0.9775,0.9775,2.01574,0.23475,0.03888,1.0786,1.77109,0.0012872,0.0012872,0.0012872
38,45.8347,1.63069,0.14105,0.05944,0.84667,1.60182,0.97987,0.85714,0.9775,0.41302,0.97987,0.85714,0.9775,0.9775,2.01574,0.23475,0.03888,1.0786,1.77109,0.0012674,0.0012674,0.0012674
39,47.0081,1.69135,0.12711,0.09051,0.81723,1.6729,0.98814,0.85714,0.9775,0.39015,0.98814,0.85714,0.9775,0.9775,1.95436,0.23011,0.03602,0.93953,1.68587,0.0012476,0.0012476,0.0012476
40,48.1219,1.65697,0.13705,0.15174,0.88228,1.74401,0.98814,0.85714,0.9775,0.39015,0.98814,0.85714,0.9775,0.9775,1.95436,0.23011,0.03602,0.93953,1.68587,0.0012278,0.0012278,0.0012278
41,49.2509,1.35456,0.14541,0.14953,0.75219,1.50687,0.99702,0.85714,0.94409,0.4134,0.99702,0.85714,0.94409,0.94409,2.02394,0.22755,0.03656,0.94904,1.71101,0.001208,0.001208,0.001208
42,50.3494,1.56753,0.10749,0.15854,0.89473,1.63876,0.99702,0.85714,0.94409,0.4134,0.99702,0.85714,0.94409,0.94409,2.02394,0.22755,0.03656,0.94904,1.71101,0.0011882,0.0011882,0.0011882
43,51.4721,1.65234,0.08686,0.12541,0.90583,1.64759,0.99702,0.85714,0.94409,0.4134,0.99702,0.85714,0.94409,0.94409,2.02394,0.22755,0.03656,0.94904,1.71101,0.0011684,0.0011684,0.0011684
44,52.5639,1.47855,0.12936,0.03518,0.75024,1.56966,0.98612,0.85714,0.953,0.39176,0.98612,0.85714,0.953,0.9442,2.1177,0.21402,0.03336,0.89617,1.75993,0.0011486,0.0011486,0.0011486
45,53.648,1.56859,0.1394,0.17654,0.86339,1.65361,0.98612,0.85714,0.953,0.39176,0.98612,0.85714,0.953,0.9442,2.1177,0.21402,0.03336,0.89617,1.75993,0.0011288,0.0011288,0.0011288
46,54.75,1.4522,0.15275,0.06622,0.77909,1.54018,0.98612,0.85714,0.953,0.39176,0.98612,0.85714,0.953,0.9442,2.1177,0.21402,0.03336,0.89617,1.75993,0.001109,0.001109,0.001109
